,word,translation,meaning
123,das,tie,"{'Noun': ['neckwear consisting of a long narrow piece of material worn (mostly by men', 'a social or business relationship', 'equality of score in a contest', 'a horizontal beam used to prevent two other structural members from spreading apart or separating', 'a fastener that serves to join or connect', 'the finish of a contest in which the score is tied and the winner is undecided', '(music', 'one of the cross braces that support the rails on a railway track', 'a cord (or string or ribbon or wire etc.'], 'Verb': ['fasten or secure with a rope, string, or cord', 'finish a game with an equal number of points, goals, etc.', 'limit or restrict to', 'connect, fasten, or put together two or more pieces', 'form a knot or bow in', 'create social or emotional ties', 'perform a marriage ceremony', 'make by tying pieces together', 'unite musical notes by a tie']}"
124,dat,Which,
125,dc,dc,"{'Noun': ['the district occupied entirely by the city of Washington; chosen by George Washington as the site of the capital of the United States and created out of land ceded by Maryland and Virginia', 'an electric current that flows in one direction steadily']}"
126,de,the,
127,dek,deck,"{'Noun': ['any of various platforms built into a vessel', 'street name for a packet of illegal drugs', 'a pack of 52 playing cards', 'a porch that resembles the deck on a ship'], 'Verb': ['be beautiful to look at', 'decorate', 'knock down with force']}"
128,del,del,
129,den,Pine tree,
130,dep,the P,
131,der,der,{'Adjective': ['denoting a quantity consisting of 500 items or units']}
132,des,des,"{'Noun': ['a Mid-Atlantic state; one of the original 13 colonies', 'a potent estrogen used in medicine and in feed for livestock and poultry', 'synthetic nonsteroid with the properties of estrogen; formerly used to treat menstrual problems but was found to be associated with vaginal cancers in the daughters of women so treated during pregnancy']}"
133,dia,dia,{'Noun': ['an intelligence agency of the United States in the Department of Defense; is responsible for providing intelligence in support of military planning and operations and weapons acquisition']}
134,die,That,
135,dij,thigh,"{'Noun': ['the part of the leg between the hip and the knee', 'the upper joint of the leg of a fowl']}"
136,dik,fat,"{'Noun': ['a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides', 'a kind of body tissue containing stored fat that serves as a source of energy; it also cushions and insulates vital organs', 'excess bodily weight'], 'Verb': ['make fat or plump'], 'Adjective': ['having an (over', 'having a relatively large diameter', 'containing or composed of fat', 'lucrative', 'marked by great fruitfulness']}"
137,dim,dim,"{'Verb': [""switch (a car's headlights"", 'become dim or lusterless', 'make dim or lusterless', 'make dim by comparison or conceal', 'become vague or indistinct'], 'Adjective': ['lacking in light; not bright or harsh', 'lacking clarity or distinctness', 'made dim or less bright', 'offering little or no hope', 'slow to learn or understand; lacking intellectual acuity']}"
138,dip,dip,"{'Noun': ['a depression in an otherwise level surface', '(physics', 'a thief who steals from the pockets or purses of others in public places', 'tasty mixture or liquid into which bite-sized foods are dipped', 'a brief immersion', 'a sudden sharp decrease in some quantity', 'a candle that is made by repeated dipping in a pool of wax or tallow', 'a brief swim in water', 'a gymnastic exercise on the parallel bars in which the body is lowered and raised by bending and straightening the arms'], 'Verb': ['immerse briefly into a liquid so as to wet, coat, or saturate', 'dip into a liquid while eating', 'go down momentarily', 'stain an object by immersing it in a liquid', 'take a small amount from', ""switch (a car's headlights"", 'lower briefly', 'appear to move downward', 'slope downwards', 'dip into a liquid', 'place (candle wicks', 'immerse in a disinfectant solution', ""plunge (one's hand or a receptacle"", ""scoop up by plunging one's hand or a ladle below the surface""]}"
139,dis,dis,{'Noun': ['(Roman mythology']}
140,dit,this,
141,dj,dj,"{'Noun': ['a person who announces and plays popular recorded music'], 'Verb': ['comment on music to be played']}"
142,dl,dl,{'Noun': ['a metric unit of volume equal to one tenth of a liter']}
143,dm,dm,"{'Noun': ['diabetes caused by a relative or absolute deficiency of insulin and characterized by polyuria', 'a metric unit of length equal to one tenth of a meter']}"
144,do,do,"{'Noun': ['an uproarious party', 'the syllable naming the first (tonic', ""doctor's degree in osteopathy""], 'Verb': ['engage in', 'carry out or perform an action', 'get (something', 'proceed or get along', 'give rise to; cause to happen or occur, not always intentionally', 'carry out or practice; as of jobs and professions', 'be sufficient; be adequate, either in quality or quantity', 'create or design, often in a certain way', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'spend time in prison or in a labor camp', 'carry on or function', 'arrange attractively', 'travel or traverse (a distance']}"
145,doe,do,"{'Noun': ['an uproarious party', 'the syllable naming the first (tonic', ""doctor's degree in osteopathy""], 'Verb': ['engage in', 'carry out or perform an action', 'get (something', 'proceed or get along', 'give rise to; cause to happen or occur, not always intentionally', 'carry out or practice; as of jobs and professions', 'be sufficient; be adequate, either in quality or quantity', 'create or design, often in a certain way', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'spend time in prison or in a labor camp', 'carry on or function', 'arrange attractively', 'travel or traverse (a distance']}"
146,dof,dull,"{'Verb': ['make dull in appearance', 'become dull or lusterless in appearance; lose shine or brightness', 'deaden (a sound or noise', 'make numb or insensitive', 'make dull or blunt', 'become less interesting or attractive', 'make less lively or vigorous'], 'Adjective': ['lacking in liveliness or animation', 'emitting or reflecting very little light', 'being or made softer or less loud or clear', 'so lacking in interest as to cause mental weariness', '(of color', 'not keenly felt', 'slow to learn or understand; lacking intellectual acuity', '(of business', 'or slow', 'not having a sharp edge or point', 'blunted in responsiveness or sensibility', 'not clear and resonant; sounding as if striking with or against something relatively soft', 'darkened with overcast']}"
147,dog,dog,"{'Noun': ['a member of the genus Canis (probably descended from the common wolf', 'a dull unattractive unpleasant girl or woman', 'informal term for a man', 'someone who is morally reprehensible', 'a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll', 'a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward', 'metal supports for logs in a fireplace'], 'Verb': ['go after with the intent to catch']}"
148,dok,dock,"{'Noun': ['an enclosure in a court of law where the defendant sits during the trial', 'any of certain coarse weedy plants with long taproots, sometimes used as table greens or in folk medicine', 'a platform built out from the shore into the water and supported by piles; provides access to ships and boats', 'a platform where trucks or trains can be loaded or unloaded', 'landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out', 'the solid bony part of the tail of an animal as distinguished from the hair', 'a short or shortened tail of certain animals'], 'Verb': ['come into dock', 'deprive someone of benefits, as a penalty', ""deduct from someone's wages"", 'remove or shorten the tail of an animal', 'maneuver into a dock']}"
149,dol,mad,"{'Adjective': ['roused to anger', 'affected with madness or insanity', 'marked by uncontrolled excitement or emotion', 'very foolish']}"
150,dom,stupid,"{'Noun': ['a person who is not very bright'], 'Adjective': ['lacking or marked by lack of intellectual acuity', 'in a state of mental numbness especially as resulting from shock', 'or stupefied', 'lacking intelligence']}"
151,don,don,"{'Noun': ['a Spanish gentleman or nobleman', 'teacher at a university or college (especially at Cambridge or Oxford', 'the head of an organized crime family', 'Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu', 'a European river in southwestern Russia; flows into the Sea of Azov', 'a Spanish courtesy title or form of address for men that is prefixed to the forename'], 'Verb': [""put clothing on one's body""]}"
